text,emotion,bias/distortion,context,feedback/insight,behavioral_recommendation,progress_tracking,motivation,perception,habit,social_influence,attention,memory,trust,past_experience,decision_making,adaptive_behavior,identity,situational_trigger,cultural
"""I spent the weekend rearranging my home office and I'm really pleased with how it turned out. The space feels more open, and having my desk face the window has improved my mood during work hours.""",joy,none,home,Recognition of environment impact on wellbeing,Continue optimizing living spaces for wellbeing and productivity,Home improvement process,Comfort and efficiency motivation,Positive spatial perception,Home organization approach,Independent of external validation,Focused attention on environmental design,Creation of pleasant space memory,Increased trust in self-direction,Learning from past workspace arrangements,Environment-enhancing decision making,Successful adaptation to work-from-home needs,Thoughtful homemaker identity,Home improvement situation,Personal space optimization valued
"""After three job rejections this month, I feel completely worthless. I obviously don't have what employers are looking for, and my career is going nowhere. Everyone else seems to find jobs easily.""",shame,"personalization, social comparison",career,Job search challenges affecting self-worth,Focus on specific skill development while maintaining application schedule,Job search challenge,Decreased career motivation,Negative professional self-perception,Job application persistence despite rejection,Strong external comparison influence,Focus on perceived inadequacy,Selective recall of rejections,Diminished trust in professional value,Similar past job search difficulties,Career decisions influenced by rejection,Difficulty maintaining confidence during job search,Professional identity threatened,Job rejection situation,Competitive job market culture
"""I'm excited about the community garden project I joined last week. Working alongside neighbors to grow food feels meaningful, and I've already learned so much about urban agriculture from the more experienced gardeners.""",hope,none,community,Recognition of meaningful social contribution and learning,Continue regular participation while developing specific gardening skills,Community engagement process,Connection and learning motivation,Positive community impact perception,New gardening skill development,Supportive community mentorship,Attention to agricultural knowledge,Creation of community participation memory,Increased trust in collaborative projects,N/A,Value-based decision-making,Successful community integration,Community member identity forming,Community project participation,Local sustainability valued
"""My child's teacher suggested they might have learning difficulties. I'm overwhelmed with worry about what this means for their future. What if they fall behind permanently? What if they face social rejection? I should have noticed sooner.""",anxiety,"catastrophizing, should statements",parenting,Parental anxiety with self-blame elements,Seek professional assessment while researching support resources without making assumptions,Child development challenge,Protection motivation,Threat-focused parenting perception,Parental worry pattern,Educational authority influence,Hyperfocus on potential negative outcomes,N/A,Concern about educational support,N/A,Parenting decisions influenced by anxiety,Difficulty accepting developmental differences,Parent identity challenged,Teacher feedback situation,Academic achievement valued
"""I lost my temper with my colleague during our team meeting yesterday. Their constant interruptions were frustrating, but my reaction was unprofessional. I apologized afterward and we've agreed to communicate more clearly in future discussions.""",neutral,none,work,Recognition of emotional reaction and repair effort,Develop specific calm-down techniques for frustrating work situations,Professional relationship improvement,Respect and professionalism motivation,Balanced workplace interaction perception,Emotional regulation opportunity,Workplace relationship repair,Improved attention to communication patterns,N/A,Rebuilding professional trust,Learning from communication breakdown,Improved conflict resolution approach,Adaptive professional response,Accountable colleague identity,Work conflict situation,Professional courtesy valued
"""I received a negative performance review today despite working overtime all quarter. My manager clearly has favorites, and my contributions are intentionally overlooked. This company is systematically unfair.""",anger,"mind reading, overgeneralization",career,Workplace frustration expanded to systemic attribution,Request specific performance improvement criteria while documenting contributions,Professional feedback challenge,Justice motivation,Negatively biased workplace perception,Direct communication attempt,Perceived workplace favoritism,Focus on perceived injustice,Selective recall of effort without recognition,Diminished trust in organizational fairness,Similar past performance evaluations,Career decisions influenced by frustration,Difficulty accepting critical feedback,Undervalued employee identity,Performance review situation,Workplace meritocracy expectation
"""I gave my first public speech at the neighborhood association meeting last night. I was nervous at first, but prepared thoroughly and received positive feedback. This small success gives me confidence to volunteer for more speaking opportunities.""",hope,none,personal growth,Recognition of courage and preparation in new challenge,Seek additional small speaking opportunities while developing specific skills,Public speaking development,Growth motivation,Positive skill-building perception,Thorough preparation approach,Supportive community feedback,Focused attention during presentation,Creation of achievement memory,Increased trust in public speaking capability,N/A,Growth-oriented decision-making,Successful adaptation to public speaking,Emerging speaker identity,Community presentation situation,Self-improvement valued
"""Today marks five years since I moved to this city alone. There were difficult adjustment periods, but I've built meaningful friendships, advanced in my career, and discovered so many wonderful local places. This place truly feels like home now.""",joy,none,life transition,Recognition of successful adaptation and growth,Continue building community connections while exploring new aspects of city life,Clear life transition milestone,Independence and growth motivation,Positive adaptation self-perception,Community integration approach,Supportive friendship network,Appreciation of city experience,Creation of significant life transition memory,Increased trust in adaptability,Learning from relocation challenges,Life-enhancing decision-making,Successful adaptation to new environment,City resident identity established,Life transition anniversary,Personal growth through change valued
"""I'm dreading my upcoming family reunion. Every year my relatives ask why I'm still single and comment on my weight. No matter how I prepare, someone always says something hurtful, and I leave feeling terrible about myself.""",sadness,"fortune telling, mental filter",family,Family interaction patterns affecting wellbeing,Prepare specific boundary statements and identify supportive allies before event,Family relationship challenge,Self-protection motivation,Negatively biased family interaction expectation,Family gathering avoidance tendency,Strong family criticism influence,Focus on anticipated criticism,Selective recall of negative family interactions,Diminished trust in family support,Similar past family gatherings,Family interaction decisions influenced by past hurt,Difficulty setting family boundaries,Family member identity strained,Family gathering situation,Family harmony expectation
"""I'm struggling with the meditation practice I started last month. My mind constantly wanders, and sometimes I feel more frustrated after trying to meditate than before. Maybe mindfulness just isn't for me.""",shame,"labeling, all-or-nothing thinking",wellbeing,Self-criticism about meditation practice,Start with just 2 minutes of practice with specific expectations about mind wandering being normal,Skill development challenge,Decreased wellbeing motivation,Negative meditation self-perception,Inconsistent practice pattern,Meditation achievement comparison,Difficulty sustaining meditation focus,N/A,Diminished trust in meditation benefits,Similar past wellbeing attempts,Wellbeing decisions influenced by frustration,Difficulty establishing meditation practice,Mindfulness practitioner identity questioned,Meditation attempt situation,Mental wellbeing practice valued
