text,emotion,bias/distortion,context,feedback/insight,behavioral_recommendation,progress_tracking,motivation,perception,habit,social_influence,attention,memory,trust,past_experience,decision_making,adaptive_behavior,identity,situational_trigger,cultural
"""I always mess up at work meetings. No one takes me seriously.""","Frustration, Self-doubt","Overgeneralization, All-or-nothing thinking","Work performance, Social anxiety","""You're using absolute terms like 'always'—this may exaggerate reality. Reflect on past successful contributions.""","""Try journaling 3 positive meeting experiences to counterbalance.""","""Noticing cognitive distortions""",Low confidence,Self-critical,Negative self-talk,Focus on failures,Selective recall,Low self-trust,Past criticism,Avoidance,Self-sabotage,"""I'm incompetent""",High-pressure meeting,Individualistic,
"""Why does everyone ignore me? They must think I’m boring.""","Loneliness, Rejection","Mind-reading, Personalization",Social interactions,"""Assuming others' thoughts ('must think') can lead to misjudgment. Have you asked for feedback?""","""Engage in one small social interaction daily to test assumptions.""","""Reducing mind-reading""",Seeking connection,Distorted social cues,Isolation,Hyper-vigilance to rejection,Negative memories,Low trust in peers,Past exclusion,Social withdrawal,Defensive behavior,"""I'm unlikable""",Group settings,Collectivist,
"""If I don’t get this promotion, my career is over.""","Anxiety, Pressure",Catastrophizing,Career growth,"""This 'all-or-nothing' thinking amplifies stress. Are there alternative paths to success?""","""List 3 backup plans to reduce fixation on one outcome.""","""Challenging catastrophic thoughts""",High ambition,Tunnel vision,Perfectionism,Competitive workplace,Overfocus on threat,Past failures,Fear of uncertainty,Risk aversion,Rigid planning,"""My worth = my job""",Upcoming review,High-achievement culture,
"""I can’t trust anyone. They always betray me.""","Anger, Distrust",Confirmation bias,Relationships,"""Generalizing from past hurts may close you off to new connections. Are there exceptions?""","""Identify one person who has been reliable to reframe perspective.""","""Rebuilding trust slowly""",Protective,Hyper-alert to betrayal,Distrusting others,Negative peer experiences,Selective attention to betrayal,Strong recall of betrayals,Very low,Past betrayals,Isolation,Defensiveness,"""I’m always hurt""",New friendships,Trauma background
"""I’ll never be as good as them. Why even try?""","Envy, Helplessness","Comparison, Discounting positives",Self-improvement,"""Comparing yourself to others ignores your unique progress. What’s one small win this week?""","""Practice self-compassion by writing 3 strengths you possess.""","""Reducing comparison""",Demotivated,Unfair self-assessment,Negative self-evaluation,Social media influence,Focus on others' success,Minimizing own achievements,Low self-trust,Past failures,Avoidance,Fixed mindset,"""I’m not enough""",Seeing others' success,Meritocratic
"""I always mess up at work meetings.""","Frustration, Shame",Overgeneralization,Workplace performance,"""Absolute terms like 'always' distort reality. Recall 1-2 meetings that went well.""","""Track meeting outcomes objectively for 1 week.""","""Noticing black-and-white thinking""",Low confidence,Self-as-failure,Negative self-talk,Competitive colleagues,Focus on mistakes,Selective recall,Low (self),Past criticism,Avoidance,Self-sabotage,"""I’m incompetent""",Public speaking,Individualistic
"""No one likes me—I’m unlovable.""",Loneliness,"Personalization, Labeling",Social relationships,"""You’re assuming others’ thoughts. Challenge this with evidence.""","""Initiate 1 low-stakes social interaction.""","""Reducing mind-reading""",Seeking connection,Distorted social cues,Isolation,Social media comparisons,Hyper-alert to rejection,Vivid negative memories,Low (others),Past rejection,Withdrawal,Defensive,"""I’m unworthy""",Group gatherings,Collectivist
"""If I fail this exam, my life is ruined.""",Anxiety,Catastrophizing,Academic pressure,"""This ‘worst-case’ thinking amplifies stress. List alternative outcomes.""","""Practice grounding techniques before tests.""","""Challenging catastrophizing""",High fear,Tunnel vision,Perfectionism,Parental expectations,Overfocus on threat,Recalls past failures,Medium,Previous poor grades,Procrastination,Rigid planning,"""I must be perfect""",Exam season,High-achievement
"""They ignored me because I’m boring.""",Rejection,Mind-reading,Social interaction,"""You can’t know others’ thoughts without asking. Consider other explanations.""","""Ask a friend for honest feedback.""","""Identifying projection""",Insecure,Assumed disapproval,Self-criticism,Peer rejection,Selective attention,Negative bias,Low (peers),Childhood exclusion,People-pleasing,Over-apologizing,"""I’m forgettable""",Parties,Western
"""Why try? I’ll never succeed.""",Hopelessness,Discounting positives,Career goals,"""You’re overlooking past progress. List 3 small wins this month.""","""Set a micro-goal (e.g., 10 mins of work).""","""Building self-efficacy""",Demotivated,Defeatist,Procrastination,Unrealistic role models,Focus on others’ success,Minimizes achievements,Low (self),Past setbacks,Avoidance,Fixed mindset,"""I’m a failure""",Seeing peers’ success,Meritocratic
"""My boss didn’t reply to my email. They must be mad at me.""","Anxiety, Self-doubt","Mind-reading, Jumping to conclusions",Workplace communication,"""Assuming negative intent without evidence fuels anxiety. Consider neutral explanations (e.g., busy schedule).""","""Send a polite follow-up instead of ruminating.""","""Reducing mind-reading""",Fear of rejection,Hyper-vigilance to criticism,Overanalyzing,Hierarchical workplace,Focus on silence,Recalls past conflicts,Medium (boss),Previous reprimands,Over-apologizing,People-pleasing,"""I’m disposable""",Email delays,Corporate culture
"""I ate junk food today. I have no self-control.""","Guilt, Shame","Labeling, All-or-nothing thinking",Health habits,"""One lapse doesn’t define you. Avoid moralizing food (‘good’ vs. ‘bad’).""","""Plan a balanced meal next time without guilt.""","""Building self-compassion""",High standards,Self-punitive,Emotional eating,Diet culture,"Fixation on ""failure""","Recalls only ""failures""",Low (self),Yo-yo dieting,Impulse decisions,Restriction cycles,"""I’m undisciplined""",Stressful day,Western beauty standards
"""She’s so successful, and I’m stuck. It’s not fair.""","Envy, Resentment","Comparison, Discounting positives",Career comparison,"""Comparing your Chapter 1 to someone’s Chapter 10 distorts reality. List your own progress.""","""Write a ‘growth list’ of skills you’ve learned.""","""Reducing social comparison""",Demoralized,Unfair self-assessment,Scrolling LinkedIn,Social media highlight reels,Focus on others,Minimizes own growth,Low (self),Past stagnation,Complaining,Passive waiting,"""I’m behind""",Seeing promotions,Competitive culture
"""I can’t say no. They’ll think I’m selfish.""","Anxiety, Obligation","Mind-reading, Should statements",Boundaries,"""Prioritizing others’ needs over yours leads to burnout. Saying ‘no’ is healthy.""","""Practice declining one small request this week.""","""Assertiveness training""",Fear of disapproval,Self-as-doormat,Overcommitment,Family guilt,Hyperfocus on others’ reactions,Recalls rejection,Low (self),"Childhood praise for ""niceness""",Avoidant,Fawning,"""I’m only valued for helping""",Requests for favors,Collectivist family
"""I’ll never find love. I’m too old/weird/broken.""",Hopelessness,"Overgeneralization, Emotional reasoning",Dating,"""Absolute statements (‘never’) ignore possibilities. Challenge with counterexamples.""","""Join a hobby group to meet people organically.""","""Rebuilding hope""",Loneliness,Defeatist,Isolation,Romantic media,Focus on flaws,Vivid past rejections,Low (others),Bad breakups,Self-sabotage,Withdrawal,"""I’m unlovable""",Valentine’s Day,Romantic idealism
